Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Boubacar Kamara,Aston Villa,Midfielder,0.1,1.09,38,0,1.9,29.89,27,0.17,0.15,0,0.06,7.9,7.9,0.0,4.8,3,4,3.054662379421222,0.23565279770444764,0.08622159090909091,0.023411371237458192,,,-0.15
Leander Dendoncker,Aston Villa,Midfielder,0.1,0.77,26,0,1.4,10.44,11,0.31,0.69,0,0.12,5.5,5.5,0.1,4.7,2,0,2.090032154340836,0.0937948350071736,0.06384943181818183,0.03946488294314381,,,-0.69
Junior Stanislas,Bournemouth,Midfielder,0.0,0.0,4,0,1.0,0.69,1,0.0,0.04,0,0.34,0.8,0.8,0.0,4.8,0,0,0.3805899143672693,0.008967001434720229,0.016264204545454543,0.0046822742474916385,2.0,,-0.04
David Brooks,Bournemouth,Midfielder,0.0,0.0,2,0,1.0,2.95,3,0.0,0.06,0,0.22,0.4,0.4,0.1,5.3,0,0,0.19029495718363465,0.0044835007173601145,0.0002130681818181818,0.0033444816053511705,,,-0.06
Jamal Lowe,Bournemouth,Midfielder,0.0,0.0,2,0,1.0,0.62,0,0.0,0.0,0,0.08,0.4,0.4,0.0,5.2,0,0,0.19029495718363465,0.0001793400286944046,0.0002130681818181818,0.0,,,0.0
Emiliano Marcondes,Bournemouth,Midfielder,0.0,0.0,1,0,1.0,0.28,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.7,0,0,0.09514747859181732,0.0010760401721664275,0.0,0.0,,,0.0
Jefferson Lerma Solís,Bournemouth,Midfielder,0.4,1.02,73,2,2.5,48.77,53,0.21,2.06,3,0.14,15.5,15.5,0.4,4.7,6,5,6.945765937202664,0.4139167862266858,0.15575284090909092,0.15384615384615383,,,0.94
Lewis Cook,Bournemouth,Midfielder,0.1,0.99,46,1,2.0,29.47,36,0.17,0.2,0,0.13,9.4,9.4,0.0,4.9,3,3,4.376784015223597,0.26040172166427544,0.23444602272727275,0.0294314381270903,,,-0.2
Ben Pearson,Bournemouth,Midfielder,0.1,0.96,9,0,1.3,5.92,10,0.32,0.05,0,0.03,2.0,2.0,0.0,4.4,1,1,0.8563273073263558,0.01883070301291248,0.004545454545454546,0.006020066889632107,,,-0.05
Ryan Christie,Bournemouth,Midfielder,0.0,1.01,46,2,1.9,21.54,24,0.14,1.68,1,0.21,8.7,8.7,0.4,5.3,2,1,4.376784015223597,0.17055236728837875,0.16491477272727273,0.2006688963210702,,4.0,-0.6799999999999999
