Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Daniel James,Fulham,Midfielder,0.2,0.76,28,0,1.5,17.35,16,0.15,1.71,1,0.34,4.7,4.7,0.2,5.9,1,0,2.391118701964133,0.07532281205164992,0.05419034090909091,0.11705685618729096,,,-0.71
Andreas Hoelgebaum Pereira,Fulham,Midfielder,13.5,1.08,108,6,3.7,42.26,35,0.3,5.43,3,0.34,25.1,25.1,0.9,4.3,8,8,9.222886421861656,0.35078909612625536,0.6522727272727272,0.2809364548494983,2.0,1.0,-2.4299999999999997
Tyrese Francois,Fulham,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.4,0,0,0.08539709649871904,0.000896700143472023,0.0002130681818181818,0.0,,,0.0
Luke Harris,Fulham,Midfielder,0.0,0.0,3,0,1.0,1.16,1,0.0,0.0,0,0.0,0.7,0.7,0.0,4.3,0,0,0.25619128949615716,0.0005380200860832137,0.0011363636363636365,0.0,,,0.0
Manor Solomon,Fulham,Midfielder,0.2,0.66,35,1,3.2,9.29,8,0.0,1.01,4,0.35,7.1,7.1,0.3,4.9,0,0,2.9888983774551665,0.18292682926829268,0.05490056818181818,0.062876254180602,,,2.99
Willian Borges da Silva,Fulham,Midfielder,0.3,1.05,75,7,3.8,23.48,13,0.47,2.57,3,0.23,13.6,13.6,0.2,5.5,8,2,6.404782237403928,0.2465925394548063,0.31953125,0.22140468227424748,,2.0,0.43000000000000016
Sasa Lukic,Fulham,Midfielder,0.0,0.83,6,0,1.2,4.87,5,0.0,0.05,0,0.06,1.3,1.3,0.1,4.5,0,1,0.5123825789923143,0.017037302725968435,0.0078125,0.006020066889632107,,,-0.05
Marc Albrighton,Leicester,Midfielder,0.1,0.39,13,0,2.2,4.04,3,0.0,0.37,1,0.3,2.8,2.8,0.0,4.7,0,0,1.1565836298932384,0.06886657101865136,0.06761363636363636,0.028762541806020066,,,0.63
Nampalys Mendy,Leicester,Midfielder,0.4,0.91,26,1,1.7,11.71,12,0.0,0.13,1,0.04,6.0,6.0,0.1,4.3,0,1,2.3131672597864767,0.10007173601147776,0.02954545454545455,0.012040133779264214,,,0.87
Youri Tielemans,Leicester,Midfielder,1.1,1.0,67,5,2.9,31.51,34,0.26,2.3,3,0.26,11.0,11.0,0.0,6.1,5,3,5.960854092526691,0.3814562410329985,0.2753551136363636,0.11036789297658862,2.0,3.0,0.7000000000000002
Ayoze Pérez,Leicester,Midfielder,0.1,0.71,19,0,2.4,5.51,5,0.24,1.05,0,0.39,4.0,4.0,0.0,4.7,1,0,1.6903914590747333,0.058464849354375896,0.10724431818181819,0.061538461538461535,,,-1.05
James Maddison,Leicester,Midfielder,9.5,1.05,111,8,4.8,34.01,39,0.19,4.33,9,0.42,13.5,13.5,0.3,8.2,4,8,9.875444839857652,0.5462697274031564,0.5281960227272727,0.4066889632107023,,2.0,4.67
Harvey Barnes,Leicester,Midfielder,2.1,1.06,113,0,4.0,41.54,40,0.24,7.7,10,0.38,16.9,16.9,0.7,6.7,6,2,10.053380782918149,0.43346484935437585,0.1823153409090909,0.5224080267558529,,,2.3
Wilfred Ndidi,Leicester,Midfielder,0.2,1.02,30,0,1.4,23.33,31,0.0,0.19,0,0.02,6.2,6.2,0.4,4.8,0,4,2.6690391459074734,0.22058823529411764,0.046803977272727275,0.027424749163879596,,,-0.19
Kiernan Dewsbury-Hall,Leicester,Midfielder,0.5,1.11,75,5,2.8,36.62,38,0.26,1.89,2,0.17,15.3,15.3,0.1,4.9,6,3,6.672597864768683,0.3760760401721664,0.34822443181818186,0.14849498327759197,,,0.1100000000000001
Boubakary Soumaré,Leicester,Midfielder,0.3,1.16,30,0,1.6,21.8,17,0.45,0.03,0,0.02,6.8,6.8,0.1,4.4,5,5,2.6690391459074734,0.14347202295552366,0.06995738636363637,0.0006688963210702341,,,-0.03
Dennis Praet,Leicester,Midfielder,0.0,0.84,29,0,1.7,9.44,7,0.33,0.59,1,0.15,6.0,6.0,0.1,4.8,2,1,2.580071174377224,0.07855093256814921,0.03579545454545455,0.026755852842809364,,,0.41000000000000003
Mateus Cardoso Lemos Martins,Leicester,Midfielder,0.1,1.23,21,1,2.3,10.42,10,0.0,1.26,1,0.25,4.0,4.0,0.2,5.2,0,0,1.8683274021352312,0.06115494978479197,0.03650568181818182,0.0588628762541806,,,-0.26
Mateusz Klich,Leeds,Midfielder,0.0,0.0,12,0,0.9,4.99,5,0.0,0.16,0,0.12,2.6,2.6,0.0,4.6,0,2,1.1152416356877324,0.03550932568149211,0.04921875,0.033444816053511704,,,-0.16
Adam Forshaw,Leeds,Midfielder,0.0,1.15,6,0,1.2,4.86,3,0.0,0.0,0,0.12,1.4,1.4,0.0,4.4,0,0,0.5576208178438662,0.013450502152080344,0.019247159090909093,0.0,,,0.0
Rodrigo Moreno,Leeds,Midfielder,4.1,1.08,102,6,4.4,25.15,28,0.25,6.86,11,0.5,16.2,16.2,0.3,6.3,4,3,9.479553903345725,0.43059540889526543,0.15532670454545455,0.49765886287625416,4.0,,4.14
Jack Harrison,Leeds,Midfielder,2.9,1.12,106,11,3.8,36.16,36,0.26,4.93,4,0.36,18.6,18.6,0.9,5.7,6,2,9.851301115241636,0.4237804878048781,0.4546164772727273,0.28695652173913044,,1.0,-0.9299999999999997
Crysencio Summerville,Leeds,Midfielder,0.6,0.82,67,4,3.0,20.95,27,0.08,2.5,4,0.27,16.0,16.0,0.4,4.2,1,3,6.226765799256506,0.25269010043041606,0.11661931818181817,0.20735785953177258,,5.0,1.5
Marc Roca Junqué,Leeds,Midfielder,0.1,1.14,59,3,2.3,36.5,44,0.1,1.2,1,0.14,12.3,12.3,0.8,4.8,2,5,5.4832713754646845,0.3330344332855093,0.25887784090909094,0.15785953177257525,,3.0,-0.19999999999999996
Brenden Aaronson,Leeds,Midfielder,0.6,1.09,74,0,2.6,41.91,48,0.21,3.66,1,0.25,14.0,14.0,0.5,5.3,5,2,6.877323420074349,0.2595050215208034,0.4401988636363636,0.2735785953177257,,4.0,-2.66
Darko Gyabi,Leeds,Midfielder,0.1,0.0,1,0,1.0,0.27,0,0.0,0.06,0,0.77,0.2,0.2,0.0,4.2,0,0,0.09293680297397769,0.003945480631276901,0.0003551136363636364,0.013377926421404682,,,-0.06
Tyler Adams,Leeds,Midfielder,0.1,1.0,47,1,2.0,32.69,36,0.21,0.11,0,0.04,9.6,9.6,0.0,4.9,5,4,4.368029739776952,0.35294117647058826,0.23359375,0.016053511705685617,,,-0.11
Luis Sinisterra Lucumí,Leeds,Midfielder,0.3,1.35,39,6,2.4,14.58,17,0.0,2.34,3,0.39,6.0,6.0,0.5,6.5,0,1,3.62453531598513,0.1574605451936872,0.09936079545454546,0.15852842809364548,,,0.6600000000000001
Weston McKennie,Leeds,Midfielder,0.0,0.92,15,0,1.4,13.3,15,0.11,0.43,0,0.09,3.2,3.2,0.3,4.7,1,5,1.3940520446096654,0.1056312769010043,0.0747159090909091,0.030100334448160532,,,-0.43
James Milner,Liverpool,Midfielder,0.6,0.75,33,0,1.5,11.05,7,0.37,0.38,0,0.24,7.5,7.5,0.2,4.4,3,1,2.4517087667161963,0.14293400286944047,0.13224431818181817,0.0588628762541806,1.0,4.0,-0.38
Jordan Henderson,Liverpool,Midfielder,0.5,1.01,50,0,1.9,25.77,22,0.36,1.09,0,0.18,9.4,9.4,0.6,5.3,6,2,3.7147102526002973,0.18866571018651362,0.2018465909090909,0.09096989966555183,,,-1.09
Thiago Alcántara do Nascimento,Liverpool,Midfielder,0.6,1.06,27,0,1.8,20.58,22,0.15,0.44,0,0.12,5.3,5.3,0.1,5.1,2,2,2.0059435364041605,0.20982783357245338,0.18522727272727274,0.05418060200668896,,,-0.44
Alex Oxlade-Chamberlain,Liverpool,Midfielder,0.0,1.08,20,2,2.2,6.64,7,0.0,1.27,1,0.39,4.1,4.1,0.1,4.9,0,0,1.4858841010401187,0.06492109038737447,0.04708806818181818,0.05618729096989966,,,-0.27
Fabio Henrique Tavares,Liverpool,Midfielder,0.8,1.02,48,0,1.8,30.55,24,0.37,0.5,0,0.06,9.2,9.2,0.3,5.2,8,8,3.566121842496285,0.23601147776183642,0.14595170454545456,0.0588628762541806,3.0,,-0.5
Mohamed Salah,Liverpool,Midfielder,26.8,1.01,166,16,5.7,38.19,33,0.36,14.81,13,0.71,13.0,13.0,0.3,12.8,10,2,12.332838038632987,0.6515423242467719,0.4671875,0.842809364548495,2.0,,-1.8100000000000005
Naby Keita,Liverpool,Midfielder,0.0,0.93,10,0,1.2,4.06,4,0.31,0.67,0,0.27,2.1,2.1,0.0,4.7,1,1,0.7429420505200593,0.021341463414634148,0.06576704545454545,0.03612040133779264,,,-0.67
Curtis Jones,Liverpool,Midfielder,0.0,0.83,10,0,1.1,7.04,5,0.28,0.17,0,0.19,2.0,2.0,0.2,4.9,1,2,0.7429420505200593,0.03766140602582496,0.039843750000000004,0.05819397993311037,,,-0.17
Luis Díaz,Liverpool,Midfielder,5.9,1.03,39,4,4.9,7.87,8,0.29,1.74,3,0.38,5.0,5.0,0.0,7.8,2,2,2.8974739970282317,0.1567431850789096,0.07066761363636363,0.1866220735785953,,,1.26
Harvey Elliott,Liverpool,Midfielder,0.6,1.03,57,2,2.1,24.39,18,0.3,1.81,1,0.35,11.9,11.9,0.1,4.8,5,1,4.234769687964339,0.21843615494978477,0.23913352272727273,0.23076923076923075,,,-0.81
Fábio Freitas Gouveia Carvalho,Liverpool,Midfielder,0.3,1.08,26,0,2.2,4.92,3,0.0,1.11,2,0.37,5.1,5.1,0.0,5.1,0,0,1.9316493313521546,0.07998565279770445,0.02578125,0.11571906354515049,,,0.8899999999999999
Stefan Bajcetic,Liverpool,Midfielder,0.1,1.03,22,0,2.0,6.8,4,0.52,0.79,1,0.22,5.0,5.0,0.0,4.4,3,2,1.634472511144131,0.08088235294117647,0.04382102272727273,0.05150501672240802,,,0.20999999999999996
Bobby Clark,Liverpool,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,1.16,0.2,0.2,0.0,4.5,0,0,0.07429420505200594,0.0,0.0002130681818181818,0.0013377926421404682,,,0.0
Ben Doak,Liverpool,Midfielder,0.0,0.0,2,0,1.0,0.96,1,0.0,0.0,0,0.0,0.4,0.4,0.0,4.5,0,0,0.1485884101040119,0.005021520803443328,0.0009943181818181817,0.0026755852842809363,,,0.0
Cody Gakpo,Liverpool,Midfielder,3.4,1.07,46,1,3.8,13.63,13,0.43,3.36,4,0.41,6.1,6.1,0.2,7.6,4,0,3.4175334323922733,0.15835724533715925,0.09119318181818183,0.1645484949832776,,,0.6400000000000001
Ilkay Gündogan,Man City,Midfielder,2.3,1.02,93,3,3.6,15.24,17,0.37,6.02,4,0.43,12.7,12.7,0.6,7.3,8,0,5.953905249679898,0.3638809182209469,0.38380681818181817,0.33979933110367894,,6.0,-2.0199999999999996
Kevin De Bruyne,Man City,Midfielder,26.2,1.02,151,20,5.6,17.11,21,0.34,4.73,5,0.74,12.5,12.5,0.9,12.1,8,1,9.667093469910371,0.6782639885222381,0.9390625,0.3638795986622073,4.0,2.0,0.2699999999999996
Riyad Mahrez,Man City,Midfielder,4.8,1.05,89,9,4.2,9.41,17,0.23,4.79,5,0.61,12.2,12.2,0.4,7.3,3,2,5.697823303457106,0.3319583931133429,0.36427556818181817,0.2782608695652174,2.0,1.0,0.20999999999999996
Jack Grealish,Man City,Midfielder,10.5,1.01,105,8,4.6,12.85,14,0.42,3.96,5,0.5,14.8,14.8,1.7,7.1,8,2,6.722151088348271,0.4019010043041607,0.4155539772727273,0.3946488294314381,,4.0,1.04
Bernardo Veiga de Carvalho e Silva,Man City,Midfielder,5.5,0.99,96,9,3.6,17.65,21,0.3,1.95,4,0.26,14.3,14.3,0.1,6.7,6,3,6.1459667093469905,0.39759684361549497,0.30134943181818186,0.2561872909698997,,,2.05
Phil Foden,Man City,Midfielder,8.2,1.09,109,12,4.5,12.35,13,0.19,4.73,9,0.52,13.6,13.6,0.0,8.0,3,1,6.978233034571063,0.4951578192252511,0.3944602272727273,0.408695652173913,,3.0,4.27
Rodrigo Hernandez,Man City,Midfielder,1.8,1.05,91,7,3.2,19.55,23,0.34,3.95,2,0.27,16.2,16.2,0.3,5.6,9,4,5.8258642765685025,0.555416068866571,0.35866477272727276,0.3003344481605351,,,-1.9500000000000002
Cole Palmer,Man City,Midfielder,0.1,0.0,9,0,0.9,2.44,2,0.0,0.07,0,0.26,2.1,2.1,0.1,4.2,0,1,0.5761843790012804,0.019010043041606885,0.03522727272727273,0.034782608695652174,,,-0.07
Kalvin Phillips,Man City,Midfielder,0.1,0.0,5,0,0.8,1.42,1,0.0,0.1,0,0.15,1.0,1.0,0.1,4.8,0,1,0.3201024327784891,0.018292682926829267,0.011150568181818182,0.006688963210702341,,,-0.1
Máximo Perrone,Man City,Midfielder,0.0,0.0,1,0,1.0,0.19,1,0.0,0.0,0,0.05,0.2,0.2,0.0,4.4,0,0,0.06402048655569782,0.000896700143472023,0.0018465909090909093,0.0026755852842809363,,,0.0
Frederico Rodrigues de Paula Santos,Man Utd,Midfielder,0.5,0.9,48,2,1.8,17.16,19,0.27,1.9,2,0.27,9.4,9.4,0.2,5.1,3,5,3.4934497816593884,0.22489239598278338,0.21107954545454546,0.1331103678929766,,,0.10000000000000009
Bruno Borges Fernandes,Man Utd,Midfielder,10.0,1.0,126,17,4.5,37.06,34,0.46,5.62,5,0.47,13.1,13.1,0.2,9.6,13,6,9.170305676855897,0.6501076040172167,0.800497159090909,0.44214046822742475,2.0,2.0,-0.6200000000000001
Marcus Rashford,Man Utd,Midfielder,43.5,1.02,174,19,6.0,34.08,33,0.45,11.66,15,0.53,24.2,24.2,0.8,7.2,12,2,12.663755458515283,0.6744978479196557,0.2528409090909091,0.7678929765886288,3.0,,3.34
Donny van de Beek,Man Utd,Midfielder,0.1,1.11,8,0,1.1,1.58,3,0.0,0.1,0,0.14,1.6,1.6,0.0,5.1,0,0,0.5822416302765648,0.010043041606886656,0.028551136363636365,0.03612040133779264,,,-0.1
Scott McTominay,Man Utd,Midfielder,0.2,0.81,34,2,1.6,21.79,19,0.32,1.29,1,0.18,6.9,6.9,1.0,4.9,4,7,2.4745269286754,0.2076757532281205,0.07975852272727273,0.0882943143812709,,,-0.29000000000000004
Jadon Sancho,Man Utd,Midfielder,3.1,1.15,68,4,4.0,17.21,14,0.74,2.62,4,0.4,9.6,9.6,0.5,7.1,9,0,4.9490538573508,0.25322812051649923,0.25859375,0.17123745819397992,,,1.38
Anthony Elanga,Man Utd,Midfielder,0.4,1.08,23,0,1.4,4.79,2,0.43,0.65,0,0.35,5.0,5.0,0.0,4.6,2,0,1.6739446870451238,0.046987087517934,0.05596590909090909,0.10836120401337793,,,-0.65
Facundo Pellistri Rebollo,Man Utd,Midfielder,0.0,0.0,3,0,1.0,0.67,1,0.0,0.0,0,0.03,0.7,0.7,0.1,4.3,0,0,0.21834061135371177,0.0028694404591104736,0.0012073863636363636,0.0013377926421404682,,,0.0
Christian Eriksen,Man Utd,Midfielder,2.0,1.08,75,6,3.8,19.46,23,0.48,2.85,1,0.32,12.1,12.1,0.0,6.2,8,3,5.458515283842795,0.2914275466284075,0.27620738636363634,0.14983277591973243,,1.0,-1.85
Alejandro Garnacho,Man Utd,Midfielder,0.5,0.81,30,0,2.0,5.99,11,0.0,1.82,2,0.55,7.1,7.1,0.0,4.2,0,2,2.1834061135371177,0.10437589670014348,0.03103693181818182,0.1331103678929766,,,0.17999999999999994
Carlos Henrique Casimiro,Man Utd,Midfielder,1.8,1.01,56,9,2.9,17.27,16,0.4,2.08,2,0.32,11.4,11.4,0.0,4.9,6,5,4.075691411935954,0.3715925394548063,0.18032670454545455,0.11638795986622073,,,-0.08000000000000007
Antony Matheus dos Santos,Man Utd,Midfielder,2.9,1.13,51,1,3.0,18.35,19,0.56,3.73,3,0.35,7.0,7.0,0.3,7.3,8,4,3.711790393013101,0.18974175035868004,0.17258522727272727,0.2963210702341137,,,-0.73
Kobbie Mainoo,Man Utd,Midfielder,0.0,0.0,1,0,1.0,0.25,0,0.0,0.0,0,0.63,0.2,0.2,0.0,4.5,0,0,0.0727802037845706,0.005200860832137733,0.0005681818181818183,0.004013377926421404,,,0.0
Marcel Sabitzer,Man Utd,Midfielder,0.1,1.07,20,0,2.5,9.46,6,0.71,0.64,0,0.24,4.3,4.3,0.8,4.7,4,1,1.455604075691412,0.08195839311334291,0.07258522727272727,0.045484949832775914,,,-0.64
Anthony Gordon,Newcastle,Midfielder,0.9,0.87,50,2,2.2,21.16,14,0.27,3.66,3,0.31,9.8,9.8,0.2,5.1,4,7,3.322259136212625,0.22937589670014347,0.13231534090909092,0.31705685618729096,,,-0.6600000000000001
Ryan Fraser,Newcastle,Midfielder,0.1,0.88,11,0,1.4,3.34,3,0.29,0.31,0,0.16,2.1,2.1,0.0,5.2,1,1,0.7308970099667774,0.024031563845050216,0.052556818181818184,0.046822742474916385,,,-0.31
Jacob Murphy,Newcastle,Midfielder,2.5,0.98,52,1,1.8,11.08,7,0.29,1.44,1,0.37,12.7,12.7,0.7,4.1,3,0,3.4551495016611296,0.14365136298421807,0.17855113636363637,0.18729096989966554,,,-0.43999999999999995
Allan Saint-Maximin,Newcastle,Midfielder,3.5,1.0,60,4,3.0,12.36,12,0.36,1.47,1,0.34,9.8,9.8,0.5,6.1,4,1,3.9867109634551494,0.2187948350071736,0.234375,0.21939799331103677,,,-0.47
Miguel Almirón Rejala,Newcastle,Midfielder,12.4,1.09,136,15,5.4,22.22,16,0.59,6.14,11,0.38,25.2,25.2,0.0,5.4,13,2,9.03654485049834,0.49085365853658536,0.21178977272727273,0.4842809364548495,,3.0,4.86
Sean Longstaff,Newcastle,Midfielder,1.2,1.0,81,2,2.8,25.5,16,0.44,2.9,1,0.22,18.8,18.8,0.5,4.3,11,2,5.382059800664452,0.30254662840746055,0.22450284090909092,0.2374581939799331,,,-1.9
Joelinton Cássio Apolinário de Lira,Newcastle,Midfielder,1.1,1.01,85,6,3.4,24.49,16,0.48,5.12,4,0.29,14.4,14.4,0.9,5.9,11,11,5.647840531561462,0.42360114777618363,0.22691761363636365,0.35050167224080264,3.0,,-1.12
Joe Willock,Newcastle,Midfielder,1.1,1.08,100,11,3.6,22.03,16,0.54,6.02,3,0.41,21.3,21.3,1.1,4.7,12,1,6.64451827242525,0.3760760401721664,0.26335227272727274,0.3806020066889632,,,-3.0199999999999996
Bruno Guimarães Rodriguez Moura,Newcastle,Midfielder,2.9,1.07,81,3,3.5,19.69,13,0.51,1.55,3,0.17,14.7,14.7,0.5,5.5,11,4,5.382059800664452,0.3970588235294118,0.26995738636363636,0.14648829431438126,,,1.45
Elliot Anderson,Newcastle,Midfielder,0.1,0.48,14,0,1.0,4.13,5,0.0,0.79,0,0.82,3.3,3.3,0.2,4.3,0,0,0.9302325581395349,0.047883787661406024,0.0512784090909091,0.10167224080267558,,,-0.79
Jonjo Shelvey,Nott'm Forest,Midfielder,0.0,0.94,16,0,1.5,11.62,11,0.16,0.19,0,0.13,3.3,3.3,0.2,4.8,1,2,1.5009380863039399,0.04985652797704448,0.07251420454545454,0.007357859531772575,,2.0,-0.19
Jack Colback,Nott'm Forest,Midfielder,0.7,0.73,14,0,1.3,9.82,11,0.0,0.0,0,0.03,3.4,3.4,0.0,4.1,0,0,1.3133208255159476,0.05559540889526542,0.023934659090909093,0.0013377926421404682,,,0.0
Carlos Ribeiro Dias,Nott'm Forest,Midfielder,0.3,0.0,1,0,1.0,0.21,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.2,0,0,0.09380863039399624,0.002152080344332855,7.102272727272728e-05,0.0,,,0.0
Ryan Yates,Nott'm Forest,Midfielder,0.0,1.03,44,0,2.1,24.34,29,0.24,1.93,0,0.14,8.8,8.8,0.0,5.0,4,4,4.127579737335835,0.17001434720229555,0.06761363636363636,0.15117056856187291,,,-1.93
Alex Mighten,Nott'm Forest,Midfielder,0.0,0.0,1,0,1.0,0.23,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.9,0,0,0.09380863039399624,0.0,0.0002130681818181818,0.0,,,0.0
Morgan Gibbs-White,Nott'm Forest,Midfielder,0.6,1.03,97,8,3.3,41.14,47,0.26,4.41,2,0.32,17.6,17.6,0.3,5.5,7,4,9.099437148217635,0.35903873744619796,0.5674715909090909,0.33444816053511706,,1.0,-2.41
Lewis O'Brien,Nott'm Forest,Midfielder,0.0,0.93,22,0,1.7,14.13,14,0.16,0.34,1,0.08,4.7,4.7,0.0,4.7,1,2,2.0637898686679175,0.09666427546628407,0.04005681818181818,0.031438127090301,,,0.6599999999999999
Jesse Lingard,Nott'm Forest,Midfielder,1.2,1.18,32,0,2.0,15.47,17,0.49,1.04,0,0.15,5.9,5.9,0.0,5.4,5,1,3.0018761726078798,0.04537302725968436,0.10788352272727274,0.08494983277591973,,,-1.04
Orel Mangala,Nott'm Forest,Midfielder,0.0,1.28,31,0,1.6,15.26,13,0.29,0.5,1,0.06,6.3,6.3,0.4,4.9,3,2,2.908067542213884,0.10294117647058823,0.029829545454545456,0.03678929765886287,,,0.5
Remo Freuler,Nott'm Forest,Midfielder,0.0,0.98,50,0,1.9,37.12,43,0.27,0.42,0,0.05,10.2,10.2,0.2,4.9,6,4,4.690431519699812,0.23385939741750358,0.12365056818181819,0.034782608695652174,,,-0.42
Cheikhou Kouyaté,Nott'm Forest,Midfielder,0.1,1.18,29,2,1.9,13.87,20,0.24,0.36,1,0.08,6.6,6.6,0.1,4.4,2,3,2.720450281425891,0.12033715925394547,0.05099431818181818,0.05284280936454849,,,0.64
Gustavo Henrique Furtado Scarpa,Nott'm Forest,Midfielder,0.0,1.02,5,0,0.8,2.87,1,0.0,0.23,0,0.14,1.1,1.1,0.1,4.7,0,1,0.46904315196998125,0.013450502152080344,0.012286931818181818,0.016722408026755852,,,-0.23
Danilo dos Santos de Oliveira,Nott'm Forest,Midfielder,0.0,1.24,10,0,1.7,5.2,5,0.0,0.27,0,0.1,2.2,2.2,0.4,4.5,0,1,0.9380863039399625,0.05200860832137733,0.02734375,0.016722408026755852,,,-0.27
André Ayew,Nott'm Forest,Midfielder,0.0,0.35,8,0,0.9,6.06,8,0.0,1.06,0,0.38,1.6,1.6,0.2,5.0,0,0,0.7504690431519699,0.022417503586800575,0.004474431818181818,0.03545150501672241,2.0,,-1.06
Ainsley Maitland-Niles,Southampton,Midfielder,0.0,0.85,30,0,1.8,15.85,20,0.25,0.02,0,0.05,6.2,6.2,0.4,4.8,3,3,3.0832476875642345,0.19978479196556673,0.07720170454545455,0.012709030100334447,,,-0.02
Roméo Lavia,Southampton,Midfielder,0.2,1.05,41,0,2.0,26.14,32,0.23,0.3,1,0.05,9.1,9.1,0.4,4.5,4,6,4.213771839671121,0.2229196556671449,0.12713068181818182,0.023411371237458192,,3.0,0.7
Theo Walcott,Southampton,Midfielder,0.0,0.88,28,1,2.3,11.3,14,0.29,1.26,1,0.31,5.8,5.8,0.8,4.8,2,1,2.877697841726619,0.08321377331420372,0.05859375,0.07826086956521738,,,-0.26
Oriol Romeu Vidal,Southampton,Midfielder,0.0,1.22,2,0,2.0,1.45,4,0.0,0.0,0,0.24,0.4,0.4,0.0,4.8,0,0,0.20554984583761562,0.005559540889526543,0.0026988636363636364,0.0013377926421404682,,,0.0
Nathan Redmond,Southampton,Midfielder,0.0,0.0,1,0,1.0,0.02,0,0.0,0.0,0,0.0,0.2,0.2,0.0,5.3,0,0,0.10277492291880781,0.0,0.0,0.0,,,0.0
Stuart Armstrong,Southampton,Midfielder,0.1,0.91,40,2,1.6,19.57,25,0.08,1.51,1,0.3,8.5,8.5,0.3,4.7,1,5,4.110996916752312,0.1285868005738881,0.15639204545454546,0.13377926421404682,,,-0.51
Mohamed Elyounoussi,Southampton,Midfielder,0.1,1.12,48,0,1.8,27.96,34,0.1,2.62,0,0.2,9.4,9.4,0.3,5.1,2,3,4.933196300102774,0.1965566714490674,0.19857954545454548,0.20735785953177258,,,-2.62
James Ward-Prowse,Southampton,Midfielder,5.8,1.0,109,15,3.6,43.13,51,0.13,4.79,7,0.3,17.3,17.3,0.6,6.3,4,5,11.202466598150052,0.6384505021520803,0.7078125000000001,0.18528428093645485,1.0,1.0,2.21
Ibrahima Diallo,Southampton,Midfielder,0.3,1.22,19,0,1.1,13.96,17,0.0,0.21,0,0.03,4.5,4.5,0.1,4.2,0,3,1.9527235354573484,0.07568149210903874,0.046875,0.018729096989966554,,,-0.21
Moussa Djenepo,Southampton,Midfielder,0.1,0.91,24,0,1.8,8.62,12,0.0,0.15,0,0.08,4.8,4.8,0.2,5.0,0,0,2.466598150051387,0.11961979913916787,0.07180397727272728,0.04147157190635451,,,-0.15
Joe Ayodele-Aribo,Southampton,Midfielder,0.3,0.91,42,3,2.2,14.51,20,0.08,1.45,2,0.16,8.4,8.4,0.0,5.0,1,2,4.316546762589928,0.1832855093256815,0.09467329545454546,0.24214046822742474,,,0.55
Samuel Edozie,Southampton,Midfielder,0.0,0.85,21,0,1.4,6.88,9,0.17,0.88,0,0.22,4.6,4.6,0.0,4.6,1,0,2.158273381294964,0.06886657101865136,0.06015625,0.08361204013377926,,,-0.88
Mislav Orsic,Southampton,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,5.1,0,0,0.10277492291880781,0.001793400286944046,0.0002130681818181818,0.0,,,0.0
Carlos Alcaraz,Southampton,Midfielder,0.0,1.05,25,3,2.5,8.13,7,0.0,0.62,2,0.15,5.0,5.0,0.3,5.0,0,1,2.5693730729701953,0.0979196556671449,0.02336647727272727,0.05351170568561873,,,1.38
Kamaldeen Sulemana,Southampton,Midfielder,0.0,1.01,18,0,1.8,9.49,9,0.43,0.78,0,0.16,3.6,3.6,0.2,5.0,3,1,1.8499486125385407,0.04824246771879483,0.09566761363636363,0.0882943143812709,,,-0.78
Son Heung-min,Spurs,Midfielder,6.5,1.03,112,5,4.0,29.73,34,0.33,6.53,7,0.41,9.7,9.7,0.4,11.6,8,1,8.127721335268506,0.4815279770444763,0.4848011363636364,0.4735785953177257,3.0,1.0,0.46999999999999975
Lucas Rodrigues Moura da Silva,Spurs,Midfielder,0.2,0.0,9,0,0.8,1.67,3,0.0,0.09,0,0.35,1.6,1.6,-0.1,5.8,0,0,0.6531204644412192,0.026004304160688666,0.030752840909090907,0.020066889632107024,,,-0.09
Pierre-Emile Højbjerg,Spurs,Midfielder,2.1,1.01,105,10,3.6,34.46,40,0.31,1.69,4,0.15,19.4,19.4,0.5,5.4,9,4,7.619738751814223,0.595767575322812,0.2908380681818182,0.1377926421404682,,,2.31
Rodrigo Bentancur,Spurs,Midfielder,0.3,1.02,71,7,3.9,19.71,24,0.36,2.26,5,0.18,13.4,13.4,0.0,5.3,6,8,5.152394775036284,0.43902439024390244,0.12798295454545455,0.15785953177257525,,,2.74
Oliver Skipp,Spurs,Midfielder,0.1,1.1,28,1,1.9,9.73,10,0.33,0.25,1,0.06,6.5,6.5,0.4,4.3,3,5,2.0319303338171264,0.11280487804878049,0.07514204545454546,0.024749163879598662,,,0.75
Yves Bissouma,Spurs,Midfielder,0.2,0.9,23,0,1.1,11.14,15,0.11,0.15,0,0.05,4.9,4.9,0.0,4.7,1,5,1.6690856313497822,0.09146341463414634,0.08863636363636364,0.014046822742474915,,,-0.15
