Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
João Cancelo,Man City,Defender,18.4,1.13,73,10,4.3,13.34,16,0.42,0.83,2,0.17,10.3,10.3,0.0,7.1,6,3,4.673495518565941,0.24838593974175036,0.18920454545454543,0.1846153846153846,,,2.66
Nathan Aké,Man City,Defender,4.5,1.02,68,4,3.0,15.83,15,0.38,1.0,0,0.11,13.3,13.3,0.4,5.1,7,2,4.353393085787452,0.29573170731707316,0.10816761363636365,0.07157190635451505,,,-0.8300000000000001
Aymeric Laporte,Man City,Defender,0.5,0.97,21,2,3.0,6.05,7,0.32,0.48,0,0.13,3.7,3.7,0.0,5.7,2,0,1.3444302176696543,0.08608321377331421,0.05262784090909091,0.04414715719063545,,,0.9500000000000002
Rúben Gato Alves Dias,Man City,Defender,6.9,0.99,63,1,3.0,12.35,13,0.41,1.36,0,0.09,10.5,10.5,0.3,6.0,7,2,4.0332906530089625,0.29429698708751795,0.04367897727272727,0.07892976588628763,,,0.6500000000000004
Rico Lewis,Man City,Defender,0.9,1.0,17,0,1.7,4.5,5,0.17,0.11,0,0.18,4.4,4.4,0.0,3.9,1,1,1.088348271446863,0.06886657101865136,0.07926136363636363,0.020066889632107024,,,0.5
Sergio Gómez,Man City,Defender,0.1,0.0,9,0,1.3,2.79,4,0.0,0.27,0,0.28,2.0,2.0,0.1,4.4,0,0,0.5761843790012804,0.04770444763271162,0.02556818181818182,0.014046822742474915,,,1.21
Manuel Akanji,Man City,Defender,2.6,0.94,67,5,3.0,15.95,19,0.3,0.99,0,0.07,13.4,13.4,0.4,5.0,6,2,4.289372599231754,0.2769010043041607,0.07578125000000001,0.10568561872909699,,,3.0500000000000007
Raphaël Varane,Man Utd,Defender,3.0,1.04,63,2,3.0,23.76,21,0.44,0.71,0,0.06,13.1,13.1,0.6,4.8,8,1,4.585152838427948,0.31276901004304164,0.044957386363636366,0.06956521739130435,,,-2.7600000000000016
Harry Maguire,Man Utd,Defender,0.4,0.95,30,2,2.5,8.22,6,0.63,0.32,0,0.06,6.4,6.4,0.4,4.7,4,3,2.1834061135371177,0.13880918220946917,0.01377840909090909,0.03411371237458194,,,-2.2200000000000006
Luke Shaw,Man Utd,Defender,16.1,1.05,95,13,4.0,28.36,31,0.41,0.89,1,0.14,18.6,18.6,0.1,5.1,9,6,6.914119359534207,0.39042324246771876,0.3308238636363637,0.07090301003344482,,3.0,2.6400000000000006
Victor Lindelöf,Man Utd,Defender,0.1,0.82,23,1,2.1,7.58,10,0.33,0.09,0,0.01,5.6,5.6,0.2,4.1,2,0,1.6739446870451238,0.10670731707317073,0.005326704545454546,0.0046822742474916385,,,2.42
Aaron Wan-Bissaka,Man Utd,Defender,0.7,0.98,43,3,3.6,9.86,6,0.54,0.82,0,0.17,10.0,10.0,0.5,4.3,5,0,3.129548762736536,0.15351506456241032,0.09566761363636363,0.046822742474916385,,,-3.8599999999999994
Diogo Dalot Teixeira,Man Utd,Defender,4.3,1.01,74,14,3.7,26.68,30,0.42,1.72,0,0.16,15.7,15.7,0.5,4.7,8,5,5.385735080058224,0.34953371592539456,0.2716619318181818,0.1632107023411371,,,3.3200000000000003
Tyrell Malacia,Man Utd,Defender,2.0,0.93,53,8,3.1,14.44,10,0.51,0.23,0,0.06,12.6,12.6,0.8,4.2,6,3,3.8573508005822417,0.15799856527977044,0.06072443181818182,0.04615384615384615,,,-4.4399999999999995
Lisandro Martínez,Man Utd,Defender,7.8,1.02,81,6,3.0,32.52,33,0.38,0.46,1,0.06,18.0,18.0,1.3,4.5,9,6,5.895196506550218,0.5127331420373027,0.07840909090909091,0.05484949832775919,,,0.4799999999999969
Matt Ritchie,Newcastle,Defender,0.1,0.0,6,0,1.0,0.9,0,0.0,0.0,0,0.13,1.4,1.4,0.1,4.2,0,0,0.3986710963455149,0.007711621233859397,0.011647727272727271,0.0013377926421404682,,,-0.9
Kieran Trippier,Newcastle,Defender,67.9,1.02,170,34,5.9,28.37,19,0.53,0.72,1,0.34,27.4,27.4,0.7,6.2,15,5,11.295681063122924,0.6558464849354375,1.0,0.07023411371237458,,1.0,-9.370000000000001
Dan Burn,Newcastle,Defender,4.4,1.02,105,4,3.6,28.2,20,0.47,1.29,0,0.09,23.3,23.3,0.6,4.5,13,4,6.976744186046512,0.36818507890961266,0.12947443181818183,0.12642140468227425,,,-8.2
Jamaal Lascelles,Newcastle,Defender,0.1,0.91,2,0,0.7,4.0,5,0.0,0.07,0,0.03,0.5,0.5,0.0,4.3,0,4,0.132890365448505,0.035150645624103305,0.0004261363636363636,0.005351170568561873,,,1.0
Javier Manquillo Gaitán,Newcastle,Defender,0.1,0.0,2,0,1.0,0.54,1,0.0,0.0,0,0.0,0.5,0.5,0.0,4.2,0,0,0.132890365448505,0.004124820659971305,7.102272727272728e-05,0.0,,,0.45999999999999996
Emil Krafth,Newcastle,Defender,0.0,0.0,1,0,1.0,0.1,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.3,0,0,0.0664451827242525,0.0,0.0,0.0,,,-0.1
Fabian Schär,Newcastle,Defender,15.1,1.01,119,6,4.4,26.52,16,0.52,3.42,1,0.19,23.3,23.3,0.7,5.1,14,4,7.906976744186046,0.4574964131994261,0.13132102272727272,0.26421404682274247,4.0,,-10.52
Matt Targett,Newcastle,Defender,0.5,0.84,25,2,2.1,4.37,4,0.42,0.01,0,0.12,5.3,5.3,0.0,4.7,2,0,1.6611295681063125,0.07478479196556671,0.07230113636363636,0.005351170568561873,,2.0,-0.3700000000000001
Jamal Lewis,Newcastle,Defender,0.0,0.0,1,0,1.0,0.47,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.4,0,0,0.0664451827242525,0.000896700143472023,0.0005681818181818183,0.0026755852842809363,,,0.53
Sven Botman,Newcastle,Defender,6.4,1.01,104,5,3.9,27.54,18,0.47,1.4,0,0.09,23.1,23.1,0.7,4.5,12,2,6.910299003322259,0.3870157819225251,0.06974431818181819,0.1471571906354515,,,-9.54
Neco Williams,Nott'm Forest,Defender,14.6,0.94,46,1,1.6,31.48,35,0.22,1.06,0,0.12,12.1,12.1,0.3,3.8,4,5,4.315196998123827,0.26488522238163553,0.16484375,0.11705685618729096,,,3.5199999999999996
Steve Cook,Nott'm Forest,Defender,0.1,1.04,20,0,1.7,15.15,21,0.19,0.13,0,0.07,4.7,4.7,0.0,4.3,2,4,1.876172607879925,0.15907460545193688,0.02791193181818182,0.018729096989966554,,,5.85
Scott McKenna,Nott'm Forest,Defender,0.1,1.05,38,0,2.1,25.4,30,0.31,0.07,0,0.02,8.6,8.6,0.0,4.4,5,4,3.564727954971857,0.24085365853658539,0.0590909090909091,0.024080267558528427,,,4.600000000000001
Joe Worrall,Nott'm Forest,Defender,0.2,0.9,47,2,2.0,32.6,34,0.21,0.64,1,0.05,11.2,11.2,0.2,4.2,4,6,4.409005628517824,0.34881635581061693,0.03870738636363637,0.05083612040133779,,,1.3999999999999986
Giulian Biancone,Nott'm Forest,Defender,0.0,0.0,2,0,1.0,0.55,1,0.0,0.0,0,0.0,0.5,0.5,0.0,4.2,0,0,0.18761726078799248,0.006097560975609756,0.0,0.0,,,0.44999999999999996
Willy Boly,Nott'm Forest,Defender,0.1,1.21,33,7,4.1,7.49,8,0.46,0.02,0,0.04,8.0,8.0,0.0,4.1,3,2,3.095684803001876,0.12876614060258249,0.00830965909090909,0.016053511705685617,,,0.5099999999999998
Moussa Niakhaté,Nott'm Forest,Defender,0.0,1.04,12,0,2.0,9.25,9,0.17,0.26,0,0.05,2.8,2.8,0.3,4.3,1,0,1.125703564727955,0.06276901004304161,0.008664772727272728,0.022742474916387957,,,-0.25
Harry Toffolo,Nott'm Forest,Defender,0.1,0.93,26,1,1.7,16.6,15,0.21,0.28,0,0.13,6.0,6.0,0.3,4.3,2,2,2.4390243902439024,0.13073888091822095,0.06541193181818182,0.044816053511705686,,,-1.6000000000000014
Renan Augusto Lodi dos Santos,Nott'm Forest,Defender,0.2,1.05,38,3,1.9,27.09,36,0.23,0.76,0,0.08,8.8,8.8,0.0,4.3,4,5,3.564727954971857,0.20893113342898134,0.09928977272727274,0.04882943143812709,,4.0,8.91
Serge Aurier,Nott'm Forest,Defender,0.4,1.01,57,8,3.2,24.42,23,0.31,0.72,1,0.1,13.0,13.0,0.0,4.4,5,2,5.347091932457786,0.31384505021520803,0.1142755681818182,0.07224080267558528,,,-1.4200000000000017
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Defender,0.0,0.9,11,0,1.2,16.84,19,0.0,0.33,0,0.14,2.4,2.4,0.2,4.5,0,2,1.0318949343339587,0.21646341463414634,0.02549715909090909,0.043478260869565216,,,2.16
Kyle Walker-Peters,Southampton,Defender,0.7,1.03,51,2,2.2,32.48,36,0.14,0.92,1,0.13,11.6,11.6,0.2,4.4,3,2,5.241521068859199,0.2844332855093257,0.15461647727272726,0.10434782608695652,,,3.520000000000003
Jan Bednarek,Southampton,Defender,0.2,1.06,28,2,1.9,19.63,20,0.25,0.35,0,0.05,6.7,6.7,0.1,4.2,3,2,2.877697841726619,0.23081061692969868,0.02549715909090909,0.025418060200668894,,,0.370000000000001
Lyanco Silveira Neves Vojnovic,Southampton,Defender,0.0,0.91,15,0,1.1,9.26,11,0.0,0.28,0,0.04,3.4,3.4,0.0,4.4,0,4,1.5416238437821173,0.11585365853658536,0.013849431818181818,0.045484949832775914,,,1.7400000000000002
Yan Valery,Southampton,Defender,0.3,2.0,0,0,0.0,0.99,2,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.003586800573888092,0.0006392045454545455,0.0,,,1.01
Romain Perraud,Southampton,Defender,0.7,1.06,70,5,2.6,27.45,32,0.21,1.25,2,0.17,17.1,17.1,0.3,4.1,4,3,7.194244604316546,0.2962697274031564,0.16803977272727272,0.19531772575250836,,,4.550000000000001
Mohammed Salisu,Southampton,Defender,0.2,0.96,33,2,1.5,28.84,41,0.05,1.4,0,0.08,7.7,7.7,0.0,4.3,1,5,3.391572456320658,0.4818866571018651,0.07791193181818182,0.1117056856187291,,,12.16
Armel Bella-Kotchap,Southampton,Defender,0.2,1.14,44,5,2.2,27.35,29,0.17,0.93,0,0.07,9.8,9.8,0.1,4.5,3,3,4.522096608427543,0.2887374461979914,0.04573863636363637,0.05953177257525083,,,1.6499999999999986
Juan Larios López,Southampton,Defender,0.0,1.2,4,0,0.8,2.48,2,0.0,0.0,0,0.01,1.0,1.0,0.0,4.0,0,0,0.41109969167523125,0.024748923959827834,0.005539772727272727,0.0026755852842809363,,,-0.48
Duje Caleta-Car,Southampton,Defender,0.0,0.9,20,2,1.8,12.09,12,0.11,0.26,0,0.04,4.5,4.5,0.0,4.4,1,2,2.055498458376156,0.16696556671449067,0.01044034090909091,0.022073578595317726,,,-0.08999999999999986
James Bree,Southampton,Defender,0.0,0.9,4,0,1.3,3.24,5,0.0,0.0,0,0.14,0.9,0.9,0.0,4.5,0,0,0.41109969167523125,0.03766140602582496,0.04559659090909091,0.0026755852842809363,,,1.7599999999999998
Matt Doherty,Spurs,Defender,0.3,0.95,35,2,2.9,8.61,9,0.41,0.74,1,0.14,7.6,7.6,0.0,4.6,3,0,2.539912917271408,0.13181492109038737,0.07848011363636363,0.09765886287625418,,,0.39000000000000057
Eric Dier,Spurs,Defender,6.3,0.99,94,5,3.4,34.03,37,0.33,1.31,2,0.07,18.4,18.4,0.3,5.1,9,3,6.821480406386067,0.5328192252510761,0.07329545454545455,0.15183946488294314,,,2.969999999999999
Ben Davies,Spurs,Defender,1.2,1.03,89,3,3.6,20.42,24,0.39,1.01,2,0.11,18.5,18.5,0.1,4.8,8,3,6.458635703918723,0.32550215208034433,0.16946022727272728,0.11103678929765885,,,3.5799999999999983
Davinson Sánchez,Spurs,Defender,0.5,0.93,23,1,1.6,7.5,10,0.31,0.33,0,0.08,5.5,5.5,0.1,4.2,2,1,1.6690856313497822,0.12015781922525108,0.018394886363636363,0.032107023411371234,,,2.5
Ryan Sessegnon,Spurs,Defender,0.5,1.01,35,0,2.1,10.48,15,0.11,1.64,2,0.3,8.0,8.0,0.0,4.4,1,4,2.539912917271408,0.1332496413199426,0.07315340909090909,0.19397993311036787,,,4.52
Japhet Tanganga,Spurs,Defender,2.4,1.27,3,0,1.0,3.52,5,0.0,0.0,0,0.01,0.8,0.8,0.1,3.8,0,0,0.21770682148040638,0.021879483500717358,0.0044034090909090915,0.0,,,1.48
Cristian Romero,Spurs,Defender,1.5,0.99,56,2,2.7,23.52,24,0.35,0.8,0,0.07,11.4,11.4,0.4,4.9,7,7,4.063860667634253,0.3504304160688666,0.04992897727272727,0.04882943143812709,,,0.4800000000000004
Emerson Leite de Souza Junior,Spurs,Defender,2.0,1.04,76,9,3.5,18.58,22,0.39,1.55,2,0.16,15.8,15.8,0.1,4.8,6,2,5.515239477503629,0.29913916786226685,0.11860795454545454,0.14782608695652172,,,3.4200000000000017
Ivan Perišić,Spurs,Defender,15.9,0.98,85,6,3.0,24.72,29,0.31,2.12,1,0.33,16.0,16.0,0.8,5.3,6,5,6.168359941944847,0.36926111908177905,0.42769886363636367,0.2120401337792642,,2.0,4.280000000000001
Clément Lenglet,Spurs,Defender,0.4,1.05,52,6,2.6,21.86,27,0.23,0.86,0,0.09,10.8,10.8,0.8,4.8,4,3,3.7735849056603774,0.28550932568149207,0.08288352272727273,0.07625418060200669,,,5.140000000000001
Djed Spence,Spurs,Defender,0.2,0.0,4,0,1.0,0.47,0,0.0,0.06,0,1.08,1.0,1.0,0.0,4.1,0,0,0.29027576197387517,0.0001793400286944046,0.0009232954545454546,0.013377926421404682,,,-0.47
Pedro Porro,Spurs,Defender,0.9,1.05,24,0,3.4,7.17,8,0.18,1.08,1,0.34,5.0,5.0,0.8,4.8,1,0,1.741654571843251,0.10545193687230989,0.0978693181818182,0.044816053511705686,,,0.8300000000000001
Angelo Ogbonna,West Ham,Defender,0.1,1.01,33,4,3.0,10.38,10,0.34,0.26,0,0.04,7.5,7.5,0.7,4.4,3,0,2.9177718832891246,0.11316355810616929,0.015980113636363636,0.01471571906354515,,,-0.3800000000000008
Aaron Cresswell,West Ham,Defender,1.3,0.97,52,5,2.5,20.87,22,0.22,0.28,0,0.15,11.1,11.1,0.6,4.7,4,2,4.597701149425287,0.3012912482065997,0.375,0.045484949832775914,,4.0,1.129999999999999
Kurt Zouma,West Ham,Defender,1.3,1.03,78,8,3.9,21.45,23,0.33,1.84,2,0.11,17.7,17.7,1.4,4.4,6,0,6.896551724137931,0.31868723098995694,0.011860795454545454,0.14581939799331103,,,1.5500000000000007
Vladimir Coufal,West Ham,Defender,0.6,0.99,41,0,2.0,18.69,23,0.18,0.25,0,0.09,10.2,10.2,0.5,4.0,3,4,3.6251105216622457,0.23475609756097562,0.1731534090909091,0.030100334448160532,,,4.309999999999999
Ben Johnson,West Ham,Defender,0.1,0.97,26,1,2.0,10.96,9,0.24,0.03,0,0.05,5.9,5.9,0.0,4.4,2,0,2.2988505747126435,0.13342898134863704,0.049715909090909095,0.002006688963210702,,,-1.9600000000000009
Nayef Aguerd,West Ham,Defender,0.4,0.94,36,3,3.0,16.9,18,0.26,1.4,1,0.14,7.5,7.5,1.0,4.8,3,3,3.183023872679045,0.21269727403156383,0.032741477272727276,0.04147157190635451,,,1.1000000000000014
Emerson Palmieri dos Santos,West Ham,Defender,1.5,1.1,33,2,2.1,15.32,19,0.18,0.7,1,0.11,8.2,8.2,0.4,4.0,2,2,2.9177718832891246,0.15118364418938307,0.10213068181818183,0.1003344481605351,,2.0,3.6799999999999997
Thilo Kehrer,West Ham,Defender,0.2,1.04,53,4,2.5,23.13,27,0.2,0.43,0,0.04,12.3,12.3,0.9,4.3,4,4,4.6861184792219275,0.24856527977044476,0.05880681818181818,0.049498327759197325,,,3.870000000000001
Craig Dawson,Wolves,Defender,0.7,1.05,53,4,2.9,23.37,22,0.23,1.22,1,0.08,11.0,11.0,0.6,4.8,4,4,4.921077065923862,0.30416068866571017,0.023792613636363636,0.08428093645484949,,,-1.370000000000001
Jonathan Castro Otto,Wolves,Defender,0.3,1.0,45,0,2.5,18.32,21,0.36,0.3,1,0.08,10.5,10.5,0.2,4.3,5,3,4.178272980501393,0.20911047345767575,0.08394886363636364,0.055518394648829426,,,2.6799999999999997
Nélson Cabral Semedo,Wolves,Defender,0.6,1.06,56,5,2.0,35.25,29,0.23,0.37,0,0.06,11.2,11.2,0.6,5.0,5,9,5.199628597957289,0.3350071736011478,0.14197443181818184,0.04280936454849498,,,-6.25
Max Kilman,Wolves,Defender,3.1,1.0,89,11,3.0,43.04,42,0.27,0.98,0,0.05,20.7,20.7,0.7,4.3,8,3,8.263695450324978,0.5627690100430416,0.036576704545454544,0.055518394648829426,,,-1.0399999999999991
Rayan Aït-Nouri,Wolves,Defender,0.8,0.79,41,0,2.0,17.24,16,0.35,1.26,1,0.18,9.8,9.8,0.0,4.2,4,4,3.8068709377901575,0.17485652797704448,0.09268465909090909,0.10434782608695652,,4.0,-1.2399999999999984
Toti António Gomes,Wolves,Defender,1.6,0.93,18,1,2.0,10.06,7,0.37,0.04,0,0.02,4.7,4.7,0.6,3.8,2,3,1.6713091922005572,0.1176470588235294,0.03224431818181818,0.014046822742474915,,,-3.0600000000000005
Nathan Collins,Wolves,Defender,0.5,0.97,45,6,2.1,27.05,29,0.23,0.09,0,0.02,10.5,10.5,0.1,4.3,4,2,4.178272980501393,0.33787661406025826,0.0265625,0.01939799331103679,,,1.9499999999999993
Hugo Bueno López,Wolves,Defender,2.8,1.1,33,2,2.1,16.27,19,0.17,0.17,0,0.07,8.7,8.7,0.1,3.8,2,1,3.064066852367688,0.171090387374462,0.14041193181818182,0.049498327759197325,,5.0,2.7300000000000004
Dexter Lembikisa,Wolves,Defender,0.0,0.0,1,0,1.0,0.43,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.0,0,0,0.09285051067780872,0.001255380200860832,0.0005681818181818183,0.0,,,0.5700000000000001
