Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
Marcos Senesi,Bournemouth,Defender,0.3,1.05,58,5,2.3,41.41,48,0.18,1.55,2,0.08,13.2,13.2,0.2,4.4,4,4,5.518553758325404,0.45480631276901,0.05390625,0.07090301003344482,,,6.590000000000003
Owen Bevan,Bournemouth,Defender,0.0,0.0,1,0,1.0,0.28,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.0,0,0,0.09514747859181732,0.0001793400286944046,0.0,0.0,,,0.72
Matías Viña,Bournemouth,Defender,0.0,0.0,4,0,1.0,0.48,1,0.0,0.0,0,0.0,0.9,0.9,0.0,4.5,0,0,0.3805899143672693,0.009505021520803443,0.0004261363636363636,0.0,,,0.52
Illia Zabarnyi,Bournemouth,Defender,0.0,0.0,1,0,1.0,0.94,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.09514747859181732,0.0001793400286944046,0.0,0.0,,,0.06000000000000005
Pontus Jansson,Brentford,Defender,0.3,1.12,29,0,2.4,13.51,14,0.25,0.34,1,0.05,6.9,6.9,0.6,4.2,2,0,2.167414050822123,0.15799856527977044,0.001775568181818182,0.03545150501672241,,,0.4900000000000002
Sergi Canós Tenés,Brentford,Defender,0.1,0.0,5,0,1.0,1.79,2,0.0,0.07,0,0.14,1.0,1.0,0.0,5.0,0,0,0.37369207772795215,0.006276901004304161,0.009588068181818182,0.004013377926421404,,,0.20999999999999996
Kristoffer Ajer,Brentford,Defender,0.1,1.06,29,0,3.2,11.34,14,0.47,0.04,0,0.01,6.4,6.4,0.0,4.5,4,0,2.167414050822123,0.08680057388809181,0.017542613636363637,0.01806020066889632,,,2.66
Rico Henry,Brentford,Defender,3.9,1.01,89,3,3.1,39.72,40,0.28,1.65,0,0.15,19.3,19.3,0.7,4.6,8,0,6.651718983557549,0.34594691535150646,0.23345170454545455,0.1217391304347826,,,0.28000000000000114
Mads Roerslev Rasmussen,Brentford,Defender,0.1,0.99,39,0,2.4,15.68,12,0.36,0.28,0,0.1,9.1,9.1,0.1,4.3,4,0,2.914798206278027,0.13701578192252512,0.07492897727272728,0.0294314381270903,,,-3.6799999999999997
Mads Bech Sørensen,Brentford,Defender,0.0,0.0,4,0,1.0,0.28,0,0.0,0.0,0,0.0,0.9,0.9,0.0,4.5,0,0,0.29895366218236175,0.0023314203730272595,0.00014204545454545457,0.0,,,-0.28
Ethan Pinnock,Brentford,Defender,1.2,1.0,75,2,3.4,30.71,28,0.32,2.43,2,0.15,17.0,17.0,0.8,4.4,7,0,5.605381165919283,0.5546987087517934,0.056321022727272727,0.15852842809364548,,,-2.710000000000001
Aaron Hickey,Brentford,Defender,0.3,1.08,39,2,2.2,20.56,24,0.2,0.17,0,0.04,8.0,8.0,0.4,4.9,3,6,2.914798206278027,0.15494978479196558,0.04211647727272727,0.05284280936454849,,,3.4400000000000013
Ben Mee,Brentford,Defender,19.4,1.02,111,9,3.8,36.85,34,0.32,1.86,3,0.09,21.8,21.8,0.5,5.1,9,2,8.295964125560538,0.5290530846484935,0.04623579545454545,0.14381270903010032,,,-2.8500000000000014
Mathias Jorgensen,Brentford,Defender,0.8,0.88,24,0,1.7,14.89,14,0.22,0.98,0,0.12,6.0,6.0,0.0,4.0,2,1,1.7937219730941705,0.14885222381635582,0.011860795454545454,0.024080267558528427,,,-0.8900000000000006
Lewis Dunk,Brighton,Defender,5.3,1.0,91,7,3.2,34.34,36,0.32,1.56,1,0.08,19.4,19.4,1.2,4.7,9,2,7.297514033680834,0.45677905308464845,0.08835227272727274,0.125752508361204,,,1.6599999999999966
Adam Webster,Brighton,Defender,0.5,1.01,61,3,2.8,19.65,21,0.39,1.56,0,0.11,13.6,13.6,0.6,4.5,7,1,4.891740176423416,0.258428981348637,0.05397727272727273,0.06220735785953177,,,1.3500000000000014
Joël Veltman,Brighton,Defender,3.9,0.96,89,6,3.4,24.84,25,0.41,1.62,1,0.11,19.3,19.3,0.8,4.6,9,2,7.137129109863673,0.3502510760401722,0.12478693181818182,0.09698996655518394,,,0.16000000000000014
Tariq Lamptey,Brighton,Defender,1.0,0.62,23,0,1.1,6.37,7,0.21,0.2,0,0.17,5.5,5.5,0.0,4.2,1,1,1.8444266238973537,0.06330703012912481,0.061931818181818185,0.032107023411371234,,,0.6299999999999999
Jan Paul van Hecke,Brighton,Defender,0.3,1.11,3,0,1.0,1.24,2,0.0,0.55,0,0.63,0.8,0.8,0.0,4.0,0,0,0.24057738572574178,0.013988522238163558,0.002627840909090909,0.006688963210702341,,,0.76
